Extruder_temperature,Printing_speed,Infill_density,Layer_height,Wall_layer,Infill_pattern,Average_tensile_strength
215,90,20,0.2,3,Diamond,18.775
215,90,10,0.2,3,Diamond,7.625
215,90,5,0.2,3,Diamond,4.3
215,90,20,0.2,3,Diamond,18.775
215,90,10,0.2,3,Diamond,7.625
215,90,5,0.2,3,Diamond,4.3
215,90,30,0.2,3,Diamond,18.175
215,90,40,0.2,3,Diamond,35.2
215,90,50,0.2,3,Diamond,36.4
215,90,25,0.2,3,Diamond,22.317
215,90,35,0.2,3,Diamond,34.723
215,90,45,0.2,3,Diamond,31.12
215,90,45,0.2,3,Diamond,34.5
215,90,25,0.2,3,Diamond,25.23
215,100,40,0.25,4,Diamond,30.09
215,120,40,0.25,4,Diamond,29.97
215,80,40,0.25,4,Diamond,35.09
215,100,40,0.2,4,Diamond,33.22
215,120,40,0.2,4,Diamond,33.04
215,80,40,0.2,4,Diamond,33.65
215,100,40,0.15,4,Diamond,33.52
215,120,40,0.15,4,Diamond,34.48
215,80,40,0.15,4,Diamond,34.3
215,100,45,0.25,3,Diamond,32.41
215,120,45,0.25,3,Diamond,33.82
215,80,45,0.25,3,Diamond,33.96
215,100,45,0.15,3,Diamond,31.6
215,120,45,0.15,3,Diamond,32.95
215,80,45,0.15,3,Diamond,33.87
215,100,45,0.2,3,Other,25.17
215,100,45,0.2,3,Donut,33.9
215,100,45,0.2,3,Other,13.5
215,100,45,0.2,3,Other,21.42
215,100,45,0.2,3,Other,34.18
215,100,45,0.2,3,Other,18.71
215,100,45,0.2,3,Other,33.05
215,100,35,0.2,3,Donut,30.41
215,75,35,0.2,3,Donut,34.18
215,125,35,0.2,3,Donut,32.69
215,100,35,0.25,3,Donut,32.93
215,75,35,0.25,3,Donut,34.3
215,125,35,0.25,3,Donut,31.1
215,100,35,0.15,3,Donut,31.35
215,75,35,0.15,3,Donut,32.87
215,125,35,0.15,3,Donut,34.09
215,100,35,0.2,4,Donut,33.94
215,75,35,0.2,4,Donut,34.19
215,125,35,0.2,4,Donut,34.21
215,100,35,0.25,4,Donut,34.4
215,75,35,0.25,4,Donut,35.34
215,125,35,0.25,4,Donut,35.14
215,125,35,0.2,3,Shark,31.37
215,125,35,0.25,3,Shark,34.36
215,125,35,0.15,3,Shark,32.41
220,125,35,0.2,3,Shark,29.81
220,125,35,0.25,3,Shark,31.59
220,125,35,0.15,3,Shark,33.46
225,125,35,0.2,3,Shark,24.42
225,125,35,0.25,3,Shark,33.97
225,125,35,0.15,3,Shark,34
215,125,35,0.2,4,Shark,32.42
215,125,35,0.25,4,Shark,34.88
215,125,35,0.15,4,Shark,34.02
220,125,35,0.2,4,Shark,33.96
220,125,35,0.25,4,Shark,34.05
220,125,35,0.15,4,Shark,34.03
225,125,35,0.2,4,Shark,34.41
225,125,35,0.25,4,Shark,34.33
225,125,35,0.15,4,Shark,34.25
225,150,25,0.25,5,Diamond,27.55
225,150,25,0.25,5,Donut,30.62
225,150,25,0.25,5,Shark,27.98
220,80,5,0.2,3,Donut,6.23
220,80,10,0.2,3,Donut,22.28
220,80,15,0.2,3,Donut,14.14
220,80,20,0.2,3,Donut,13.41
220,80,25,0.2,3,Donut,19.98
220,80,30,0.2,3,Donut,33.79
220,80,35,0.2,3,Donut,24.63
220,80,35,0.2,3,Donut,33.49
220,80,35,0.2,3,Donut,34.36
220,80,35,0.2,3,Donut,36.6
215,80,5,0.2,4,Donut,3.9
215,100,10,0.2,3,Donut,34.32
215,120,20,0.2,3,Donut,26.11
215,80,20,0.2,4,Donut,29.12
220,80,5,0.2,4,Shark,5.76
220,80,20,0.2,4,Shark,32.66
220,80,40,0.2,4,Shark,27.5
215,80,10,0.2,2,Diamond,3.31
215,80,20,0.2,2,Diamond,16.46
215,80,50,0.2,2,Diamond,33.88
